Country,CountryCode,Year,Gender wage gap %,Globalization index,GDP(in $),Population,% Labour force participation(Men),% Labour force participation(Women),Employment rates of women with Low education level and have atleast 1 child,Employment rates of women with Moderate education level and have atleast 1 child,Employment rates of women with High education level and have atleast 1 child
Norway,32,2011,7.8,84,62076.742,4953565,NA,NA,NA,NA,NA
Norway,32,2012,6.4,85,65354.777,5019058,NA,NA,NA,NA,NA
Norway,32,2013,7,84,66961.25,5080667,NA,NA,NA,NA,NA
Norway,32,2014,6.3,84,65892.69,5137926,NA,NA,NA,NA,NA
Norway,32,2015,7.1,86,60368.92,5190357,67.6,62.2,NA,NA,NA
Norway,32,2016,NA,86,58939.914,5236591,NA,NA,NA,NA,NA
Norway,32,2017,NA,85,64050.758,5277396,NA,NA,NA,NA,NA
Norway,32,2018,NA,85,69808.33,5312321,66.4,61.8,NA,NA,NA
Norway,32,2019,NA,85,66799.164,5348285,66.1,62.1,NA,NA,NA
Norway,32,2020,NA,85,62644.848,5379836,65.5,62,NA,NA,NA
Norway,32,2021,NA,NA,79201.23,5403021,72.2,61,NA,NA,NA
Poland,34,1990,NA,51,6181.8916,38064252,NA,NA,NA,NA,NA
Poland,34,1991,20.1,52,5921.537,38167388,NA,NA,NA,NA,NA
Poland,34,1992,17.2,55,6189.794,38252284,NA,NA,NA,NA,NA
Poland,34,1993,20,58,6556.6846,38319300,NA,NA,NA,NA,NA
Poland,34,1994,18.9,61,7036.273,38375464,NA,NA,NA,NA,NA
Poland,34,1995,20.1,62,7681.197,38401980,73.9,61,NA,NA,NA
Poland,34,1996,20.5,62,8275.802,38401408,NA,NA,NA,NA,NA
Poland,34,1997,18.6,63,8936.626,38396120,NA,NA,NA,NA,NA
Poland,34,1998,19.1,64,9487.754,38379992,NA,NA,NA,NA,NA
Poland,34,1999,17.6,65,10040.898,38354952,NA,NA,NA,NA,NA
Poland,34,2000,NA,68,10672.121,38504432,71.7,59.9,NA,NA,NA
Poland,34,2001,14.3,68,11119.715,38662860,NA,NA,NA,NA,NA
Poland,34,2002,11.3,70,11804.267,38647476,NA,NA,NA,NA,NA
Poland,34,2003,NA,71,12288.463,38621536,NA,NA,NA,NA,NA
Poland,34,2004,10.6,75,13353.682,38596040,NA,NA,NA,NA,NA
Poland,34,2005,NA,75,13896.793,38575912,62.8,47.7,NA,NA,NA
Poland,34,2006,11.4,76,15152.336,38547180,NA,NA,37.6,58.8,83
Poland,34,2007,NA,78,16802.834,38521868,NA,NA,40.6,62,83.4
Poland,34,2008,13,78,18303.354,38522884,NA,NA,39.8,64.2,83.6
Poland,34,2009,NA,78,19239.928,38555288,NA,NA,40.5,62.8,83.4
Poland,34,2010,7.2,78,20890.82,38597356,63.7,47.6,41.5,61.6,83.1
Poland,34,2011,NA,78,22658.377,38620848,NA,NA,40.7,60.2,82
Poland,34,2012,10.6,79,23589.148,38625872,NA,NA,38.9,59.7,82.4
Poland,34,2013,NA,79,24319.88,38607352,NA,NA,34.1,58.8,82.2
Poland,34,2014,11.1,80,25316.332,38581880,NA,NA,35.7,59.8,83.6
Poland,34,2015,NA,81,26822.664,38553148,64.6,48.4,37.4,61.3,84.5
Poland,34,2016,NA,81,28165.836,38532108,NA,NA,34.5,60.5,84
Poland,34,2017,NA,81,29958.121,38532816,NA,NA,35.5,59.2,83.9
Poland,34,2018,NA,80,32027.604,38521464,64.9,48.5,32.1,60.6,84.7
Poland,34,2019,NA,81,33728.395,38493600,65,48.2,30.9,60,84.7
Poland,34,2020,NA,81,34449.324,38428368,65.1,47.9,35.4,59.2,85.1
Poland,34,2021,NA,NA,37836.76,38307724,65.7,49.5,41.2,64.6,88.7
Slovakia,35,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slovakia,35,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slovakia,35,1992,NA,NA,7172.285,5301897,NA,NA,NA,NA,NA
Slovakia,35,1993,NA,56,7467.048,5321863,NA,NA,NA,NA,NA
Slovakia,35,1994,NA,57,8067.9136,5338814,NA,NA,NA,NA,NA
Slovakia,35,1995,NA,59,8692.957,5349999,68.9,51.5,NA,NA,NA
Slovakia,35,1996,NA,60,9404.879,5358288,NA,NA,NA,NA,NA
Slovakia,35,1997,NA,62,10086.135,5365829,NA,NA,NA,NA,NA
Slovakia,35,1998,NA,63,10623.007,5371086,NA,NA,NA,NA,NA
Slovakia,35,1999,NA,64,10714.177,5374617,NA,NA,NA,NA,NA
Slovakia,35,2000,NA,67,11376.556,5376700,68.2,52.6,NA,NA,NA
Slovakia,35,2001,NA,70,12385.988,5376457,NA,NA,NA,NA,NA
Slovakia,35,2002,20.4,70,13312.203,5375206,NA,NA,NA,NA,NA
Slovakia,35,2003,20.7,72,14181.122,5374381,NA,NA,NA,NA,NA
Slovakia,35,2004,20.9,77,15226.339,5374932,NA,NA,NA,NA,NA
Slovakia,35,2005,20.1,78,16639.395,5376251,68.3,51.3,NA,NA,NA
Slovakia,35,2006,17.8,79,18914.027,5377239,NA,NA,NA,NA,NA
Slovakia,35,2007,17.5,81,21222.38,5378381,NA,NA,NA,NA,NA
Slovakia,35,2008,16.4,81,23725.857,5381641,NA,NA,NA,NA,NA
Slovakia,35,2009,16.4,81,23080.586,5388934,NA,NA,NA,NA,NA
Slovakia,35,2010,14.9,81,25302.232,5396428,68.5,51.8,NA,NA,NA
Slovakia,35,2011,15.4,81,26145.889,5402686,NA,NA,NA,NA,NA
Slovakia,35,2012,16,81,26888.348,5409283,NA,NA,NA,NA,NA
Slovakia,35,2013,14.1,81,27915.434,5414744,NA,NA,NA,NA,NA
Slovakia,35,2014,14.4,82,28929.525,5419572,NA,NA,NA,NA,NA
Slovakia,35,2015,13.4,82,29964.889,5424449,67.9,51.9,NA,NA,NA
Slovakia,35,2016,13.9,82,29645.742,5431205,NA,NA,NA,NA,NA
Slovakia,35,2017,NA,83,30061.55,5439418,NA,NA,NA,NA,NA
Slovakia,35,2018,NA,83,31214.592,5446746,67.8,52.3,NA,NA,NA
Slovakia,35,2019,NA,83,31966.555,5453932,67.6,52.3,NA,NA,NA
Slovakia,35,2020,NA,83,31356.459,5456681,66.7,51.9,NA,NA,NA
Slovakia,35,2021,NA,NA,33010.29,5447621,66.5,55.1,NA,NA,NA
South Korea,29,1990,NA,49,8355.333,44120040,74,47,NA,NA,NA
South Korea,29,1991,NA,49,9474.643,44487412,NA,NA,NA,NA,NA
South Korea,29,1992,47,50,10184.855,44703708,NA,NA,NA,NA,NA
South Korea,29,1993,47.3,55,11030.712,44932856,NA,NA,NA,NA,NA
South Korea,29,1994,45.5,56,12187.255,45165784,NA,NA,NA,NA,NA
South Korea,29,1995,44.2,57,13502.583,45393416,76.4,48.4,NA,NA,NA
South Korea,29,1996,43.3,58,14694.097,45660164,NA,NA,NA,NA,NA
South Korea,29,1997,42.2,60,15721.706,45962392,NA,NA,NA,NA,NA
South Korea,29,1998,42,63,14974.659,46250260,NA,NA,NA,NA,NA
South Korea,29,1999,41.8,64,16807.129,46520448,NA,NA,NA,NA,NA
South Korea,29,2000,41.7,67,18538.836,46788588,74.4,48.8,NA,NA,NA
South Korea,29,2001,40.4,68,19724.426,47064784,NA,NA,NA,NA,NA
South Korea,29,2002,41,68,21396.838,47320664,NA,NA,NA,NA,NA
South Korea,29,2003,40.1,68,22095.871,47539740,NA,NA,NA,NA,NA
South Korea,29,2004,39.6,69,23773.828,47727288,NA,NA,NA,NA,NA
South Korea,29,2005,39.6,68,25186.867,47889576,74.8,50.3,NA,NA,NA
South Korea,29,2006,39.8,70,26884.268,48049348,NA,NA,NA,NA,NA
South Korea,29,2007,38.2,73,29064.918,48220600,NA,NA,NA,NA,NA
South Korea,29,2008,39,74,29946.078,48398632,NA,NA,NA,NA,NA
South Korea,29,2009,38.6,74,29508.38,48588024,NA,NA,NA,NA,NA
South Korea,29,2010,39.6,74,31736.629,48813036,73.2,49.6,NA,NA,NA
South Korea,29,2011,36.6,75,32546.754,49169880,NA,NA,NA,NA,NA
South Korea,29,2012,36.3,76,33557.13,49634188,NA,NA,NA,NA,NA
South Korea,29,2013,36.6,76,34244.312,50098228,NA,NA,NA,NA,NA
South Korea,29,2014,36.7,77,35324.496,50558044,NA,NA,NA,NA,NA
South Korea,29,2015,37.2,77,37902.402,50994396,74.1,51.9,NA,NA,NA
South Korea,29,2016,36.7,78,39575.453,51309984,NA,NA,NA,NA,NA
South Korea,29,2017,NA,78,40957.418,51511640,NA,NA,NA,NA,NA
South Korea,29,2018,NA,78,43044.293,51676900,73.7,52.9,NA,NA,NA
South Korea,29,2019,NA,79,42998.387,51803832,73.5,53.5,NA,NA,NA
South Korea,29,2020,NA,78,45403.03,51844688,72.6,52.8,NA,NA,NA
South Korea,29,2021,NA,NA,47242.527,51830136,72.6,53.3,NA,NA,NA
Sweden,36,1990,19,75,20414.117,8548407,77.6,71.2,NA,NA,NA
Sweden,36,1991,19.3,78,20720.896,8594170,NA,NA,NA,NA,NA
Sweden,36,1992,19,78,20825.06,8640277,NA,NA,NA,NA,NA
Sweden,36,1993,18.7,79,20757.406,8683403,NA,NA,NA,NA,NA
Sweden,36,1994,17.2,81,21877.803,8723467,NA,NA,NA,NA,NA
Sweden,36,1995,18.8,82,23094.053,8758496,73.7,67.3,NA,NA,NA
Sweden,36,1996,16.4,82,23927.514,8785493,NA,NA,NA,NA,NA
Sweden,36,1997,16.7,83,24805.824,8807868,NA,NA,NA,NA,NA
Sweden,36,1998,17,85,25887.838,8828629,NA,NA,NA,NA,NA
Sweden,36,1999,16.8,85,27471.559,8848881,NA,NA,NA,NA,NA
Sweden,36,2000,15.5,87,29618.28,8871042,74.3,67.5,NA,NA,NA
Sweden,36,2001,16.6,87,29927.6,8896748,NA,NA,NA,NA,NA
Sweden,36,2002,15.9,87,30926.506,8926011,NA,NA,NA,NA,NA
Sweden,36,2003,16,87,31814.863,8961506,NA,NA,NA,NA,NA
Sweden,36,2004,15.3,87,33858.613,9004263,NA,NA,NA,NA,NA
Sweden,36,2005,14.4,88,34244.465,9051739,75.2,68.8,NA,NA,NA
Sweden,36,2006,14.6,88,37730.164,9104724,NA,NA,NA,NA,NA
Sweden,36,2007,16.4,89,40905.145,9164274,NA,NA,NA,NA,NA
Sweden,36,2008,15.4,89,42158.297,9229282,NA,NA,NA,NA,NA
Sweden,36,2009,14.9,89,40279.46,9301413,NA,NA,48.4,80.7,87
Sweden,36,2010,14.3,89,42223.918,9381722,73.8,67.1,50.5,79.2,90.8
Sweden,36,2011,15.9,89,44608.582,9467384,NA,NA,52.1,79.6,88.8
Sweden,36,2012,15.1,88,45432.434,9555984,NA,NA,50.6,84.1,88.5
Sweden,36,2013,13.4,88,46312.39,9648935,NA,NA,51.9,84,89.2
Sweden,36,2014,NA,90,47184.668,9747507,NA,NA,50.9,83.5,90.3
Sweden,36,2015,NA,90,49103.133,9849344,74.4,69.5,52.4,85,89.7
Sweden,36,2016,NA,89,50430.254,9953322,NA,NA,NA,NA,NA
Sweden,36,2017,NA,89,51947.953,10058191,NA,NA,NA,NA,NA
Sweden,36,2018,NA,90,53521.63,10162300,75.2,70.6,NA,NA,NA
Sweden,36,2019,NA,90,54598.78,10267922,75.5,71,NA,NA,NA
Sweden,36,2020,NA,89,55064.887,10368968,76.1,70.4,NA,NA,NA
Sweden,36,2021,NA,NA,59323.965,10467095,76.7,70.9,NA,NA,NA
United Kingdom,20,1990,32.7,77,17084.6,57210444,75.6,53.2,NA,NA,NA
United Kingdom,20,1991,31.1,79,17413.592,57359452,NA,NA,NA,NA,NA
United Kingdom,20,1992,29.9,79,17833.574,57509240,NA,NA,NA,NA,NA
United Kingdom,20,1993,28.7,81,18666.043,57647464,NA,NA,NA,NA,NA
United Kingdom,20,1994,28.1,81,19747.531,57785900,NA,NA,NA,NA,NA
United Kingdom,20,1995,28.2,82,20617.434,57930364,71.9,53.1,NA,NA,NA
United Kingdom,20,1996,27.2,82,21968.93,58078584,NA,NA,NA,NA,NA
United Kingdom,20,1997,26.9,82,23049.613,58250192,NA,NA,NA,NA,NA
United Kingdom,20,1998,27,83,23683.516,58438320,NA,NA,NA,NA,NA
United Kingdom,20,1999,26.1,84,24463.496,58635204,NA,NA,NA,NA,NA
United Kingdom,20,2000,26.3,85,26472.193,58850044,71.1,55,NA,NA,NA
United Kingdom,20,2001,25.6,86,27807.17,59092016,NA,NA,NA,NA,NA
United Kingdom,20,2002,24.4,85,29062.123,59355688,NA,NA,NA,NA,NA
United Kingdom,20,2003,24.1,87,30355.283,59649800,NA,NA,NA,NA,NA
United Kingdom,20,2004,23.4,87,32058.416,59995852,NA,NA,NA,NA,NA
United Kingdom,20,2005,22.1,87,32747.354,60383740,70.4,55.8,NA,NA,NA
United Kingdom,20,2006,21.7,87,34845.59,60803700,NA,NA,47.8,65.5,81
United Kingdom,20,2007,21.6,88,35695.297,61260680,NA,NA,46.2,65.9,81.1
United Kingdom,20,2008,21.9,88,36863.586,61742152,NA,NA,47.3,67.5,80.4
United Kingdom,20,2009,20.7,88,35212.42,62243384,NA,NA,44.8,65.6,80.8
United Kingdom,20,2010,19.2,89,36576.586,62760048,69.5,56.2,42.6,66,80.1
United Kingdom,20,2011,18.2,89,37379.29,63286360,NA,NA,40.5,65.8,77.8
United Kingdom,20,2012,17.8,89,38514.027,63808728,NA,NA,42.3,64.9,79.2
United Kingdom,20,2013,17.5,89,40218.746,64302296,NA,NA,44.3,64.8,79.4
United Kingdom,20,2014,17.4,89,41580.6,64773504,NA,NA,43.4,66.4,80.2
United Kingdom,20,2015,17.1,89,42912.875,65224368,69.1,57.5,45.8,67.8,81.2
United Kingdom,20,2016,16.8,89,44635.3,65655204,NA,NA,47.9,68.1,82
United Kingdom,20,2017,NA,90,46372.387,66064808,NA,NA,50.7,70.4,81.9
United Kingdom,20,2018,NA,89,47573.49,66432996,68.7,58.1,52.8,69.9,83.9
United Kingdom,20,2019,NA,89,49041.465,66778660,68.5,58.7,54.7,70.6,83.8
United Kingdom,20,2020,NA,89,46526.91,67059472,67.9,59.1,NA,NA,NA
United Kingdom,20,2021,NA,NA,49675.305,67281040,66.9,58.6,NA,NA,NA
United States,38,1990,28.5,70,23888.6,248083728,76.4,57.5,NA,NA,NA
United States,38,1991,26.6,71,24342.26,251560192,NA,NA,NA,NA,NA
United States,38,1992,25.1,71,25418.99,255175328,NA,NA,NA,NA,NA
United States,38,1993,23.9,73,26387.293,258779760,NA,NA,NA,NA,NA
United States,38,1994,23.9,73,27694.854,262273584,NA,NA,NA,NA,NA
United States,38,1995,24.6,75,28690.875,265660560,75,58.9,NA,NA,NA
United States,38,1996,23.8,75,29967.713,268984352,NA,NA,NA,NA,NA
United States,38,1997,23.8,76,31459.139,272395424,NA,NA,NA,NA,NA
United States,38,1998,23.7,77,32853.676,275835008,NA,NA,NA,NA,NA
United States,38,1999,23.5,77,34515.39,279181568,NA,NA,NA,NA,NA
United States,38,2000,23.1,77,36329.957,282398560,74.8,59.9,NA,NA,NA
United States,38,2001,23.6,78,37133.625,285470496,NA,NA,NA,NA,NA
United States,38,2002,22.1,77,37997.758,288350240,NA,NA,NA,NA,NA
United States,38,2003,20.6,78,39490.273,291109824,NA,NA,43.9,67.4,74.3
United States,38,2004,19.6,78,41724.633,293947872,NA,NA,43.5,67,74.3
United States,38,2005,19,78,44123.406,296842656,73.3,59.3,43.9,66.7,75
United States,38,2006,19.2,80,46302,299753088,NA,NA,44.7,66.9,75.6
United States,38,2007,19.8,81,48050.223,302743392,NA,NA,45.7,67.2,75.8
United States,38,2008,20.1,81,48570.047,305694912,NA,NA,43.6,66.5,76.2
United States,38,2009,19.8,80,47194.94,308512032,NA,NA,41.7,63.5,74.8
United States,38,2010,18.8,80,48650.645,311182848,71.2,58.6,40.7,62.4,73.8
United States,38,2011,17.8,81,50065.965,313876608,NA,NA,40,61.2,74.2
United States,38,2012,19.1,81,51784.418,316651328,NA,NA,40.6,62,74.9
United States,38,2013,17.9,81,53291.13,319375168,NA,NA,41,61.3,74.5
United States,38,2014,17.5,82,55123.85,322033952,NA,NA,41,61.8,75.3
United States,38,2015,18.9,82,56762.73,324607776,69.1,56.7,42.4,62.4,75.5
United States,38,2016,18.1,82,57866.746,327210208,NA,NA,44,63.4,75.8
United States,38,2017,NA,82,59914.777,329791232,NA,NA,44.4,64,76.4
United States,38,2018,NA,82,62805.254,332140032,69.1,57.1,47.1,64.1,77.2
United States,38,2019,NA,82,65094.8,334319680,69.2,57.4,46.7,65.3,77.7
United States,38,2020,NA,81,63027.68,335942016,67.7,56.2,41.5,59.2,74.9
United States,38,2021,NA,NA,69287.54,336997632,67.6,56.1,41.2,59.9,76.6
